,name,date,mag,mag_psf,factor
0,HIP8691,2013oct17,4.31,7.051,12.485329261594954
1,HIP11152,2013sep25,5.7,7.051,3.4705635400798758
2,HIP11191,2012dec05,6.05,7.051,2.514201030159022
3,HIP11486,2013nov17,6.55,7.051,1.5863536054785026
4,HIP11486,2014nov07,6.89,7.051,1.1598451211901675
5,HIP12489,2013dec18,5.71,7.051,3.4387452222912724
6,HIP12489,2014oct03,8.108,7.051,0.377746109388219
7,HIP12635,2013sep25,8.108,7.051,0.377746109388219
8,HIP13209,2013sep25,5.75,7.051,3.314362450092591
9,HIP13631,2013dec18,7.18,7.051,0.887973489325767
10,HIP13682,2012aug29,7.18,7.051,0.887973489325767
11,HIP14807,2012aug28,5.36,7.051,4.74678979482922
12,HIP14809,2012aug28,6.68,7.051,1.4073431383183492
13,HIP14809,2013oct17,5.49,7.051,4.211143104363182
14,HIP15902,2013dec18,5.66,7.051,3.600808291734827
15,HIP16042,2013aug25,5.9,7.051,2.8866890179482727
16,HIP16095,2013oct17,7.64,7.051,0.5812995677253884
17,HIP16095,2014oct03,7.64,7.051,0.5812995677253884
18,HIP16095,2015jan10,5.88,7.051,2.940356573672508
19,HIP16095,2016nov05,6.17,7.051,2.25112701591288
20,HIP16095,2016nov11,7.63,7.051,0.5866782664019772
21,HIP16095,2017sep09_new,7.35,7.051,0.759276572646526
22,HIP16563,2013sep25,6.93,7.051,1.1178923907117448
23,HIP16709,2013dec18,4.59,7.051,9.647171518961681
24,HIP17338,2013nov17,4.59,7.051,9.647171518961681
25,HIP17395,2011feb06,5.07,7.051,6.200118642087245
26,HIP17921,2012aug28,5.07,7.051,6.200118642087245
27,HIP18481,2011feb07,7.76,7.051,0.5204751511705226
28,HIP19215,2015jan09,3.86,7.051,18.897310544316777
29,HIP19793,2013nov17,7.77,7.051,0.5157034063026462
30,HIP20160,2015jan09,7.7,7.051,0.5500472528676338
31,HIP20171,2013dec18,7.65,7.051,0.5759701812546713
32,HIP20626,2010sep27,6.97,7.051,1.077457131456367
33,HIP20693,2012dec07,6.97,7.051,1.077457131456367
34,HIP20737,2013dec18,6.81,7.051,1.2485329261594953
35,HIP20901,2012dec05,4.03,7.051,16.158461209490003
36,HIP21091,2013dec18,6.31,7.051,1.9787913352337383
37,HIP21238,2012dec06,6.31,7.051,1.9787913352337383
38,HIP21586,2012dec07,6.31,7.051,1.9787913352337383
39,HIP22394,2013sep25,6.31,7.051,1.9787913352337383
40,HIP23088,2015jan09,6.31,7.051,1.9787913352337383
41,HIP23155,2013oct17,6.31,7.051,1.9787913352337383
42,HIP23155,2013dec18,6.37,7.051,1.872405895986799
43,HIP23155,2014oct03,7.48,7.051,0.6735967762229427
44,HIP23585,2013nov17,7.2,7.051,0.8717661466018495
45,HIP23585,2014nov07,5.08,7.051,6.14327561270521
46,HIP24528,2011feb06,5.98,7.051,2.6816370667607297
47,HIP25197,2015jan09,5.93,7.051,2.8080187281166378
48,HIP25453,2011feb06,8.14,7.051,0.366775231599495
49,HIP25517,2011feb07,6.52,7.051,1.6307973610235948
50,HIP26625,2011oct14,7.74,7.051,0.5301515066784587
51,HIP27069,2011oct14,5.61,7.051,3.7705091583339287
52,HIP27713,2013nov17,6.67,7.051,1.4203651240480122
53,HIP27713,2014nov07,6.11,7.051,2.3790304458806246
54,HIP28224,2014dec07,6.74,7.051,1.331680376269981
55,HIP29510,2015jan10,4.53,7.051,10.195299775626024
56,HIP29606,2014nov10,7.238,7.051,0.8417827076608124
57,HIP30088,2011oct15,6.32,7.051,1.9606496672266
58,HIP31173,2012dec07,8.28,7.051,0.32240368719181894
59,HIP33227,2015jan09,6.96,7.051,1.087426719546244
60,HIP35198,2012dec05,5.77,7.051,3.2538685178010773
61,HIP36188,2014nov07,8.25,7.051,0.33143624500925906
62,HIP38403,2015jan10,8.25,7.051,0.33143624500925906
63,HIP38538,2013apr19,8.25,7.051,0.33143624500925906
64,HIP39535,2014nov07,5.98,7.051,2.6816370667607297
65,HIP41319,2013mar02,5.98,7.051,2.6816370667607297
66,HIP42090,2013apr19,6.43,7.051,1.7717400399431236
67,HIP42090,2014jan12,5.16,7.051,5.706896548928058
68,HIP42090,2014apr09,6.44,7.051,1.7554966296212338
69,HIP42090,2014may13,6.7,7.051,1.3816562311673284
70,HIP42090,2014dec07,6.88,7.051,1.170577035963138
71,HIP42197,2011feb07,7.01,7.051,1.0384844550082744
72,HIP42353,2013nov17,5.65,7.051,3.6341261606422295
73,HIP43701,2015jan10,5.65,7.051,3.6341261606422295
74,HIP43932,2012dec28,6.87,7.051,1.1814082519208875
75,HIP43970,2011feb07,7.45,7.051,0.6924684643226362
76,HIP44272,2012dec07,7.3,7.051,0.7950601750844201
77,HIP45950,2014jan12,6.7,7.051,1.3816562311673284
78,HIP46843,2013mar02,5.48,7.051,4.250108331760469
79,HIP46843,2015jan09,6.8,7.051,1.2600854590882382
80,HIP46897,2013apr19,6.69,7.051,1.3944405388714605
81,HIP46897,2014apr09,3.03,7.051,40.58821946619185
82,HIP47307,2013apr30,6.02,7.051,2.5846396357698445
83,HIP48212,2013mar02,4.66,7.051,9.044821490475902
84,HIP48341,2012dec06,6.28,7.051,2.034229743211728
85,HIP48423,2014jan12,4.96,7.051,6.861198752817058
86,HIP48541,2015feb03,5.54,7.051,4.021610443342134
87,HIP49593,2012dec05,5.54,7.051,4.021610443342134
88,HIP49809,2012dec06,5.54,7.051,4.021610443342134
89,HIP50155,2013apr30,5.54,7.051,4.021610443342134
90,HIP50658,2015jan10,5.54,7.051,4.021610443342134
91,HIP50860,2012dec28,6.5,7.051,1.6611161476000138
92,HIP52120,2013apr19,6.53,7.051,1.6158461209490005
93,HIP53824,2011feb06,7.42,7.051,0.7118688672622807
94,HIP53824,2014apr09,5.02,7.051,6.492321231432135
95,HIP53954,2011feb06,4.86,7.051,7.523154831868717
96,HIP53954,2015jan10,7.74,7.051,0.5301515066784587
97,HIP53954,2012dec07,7.21,7.051,0.8637737465291843
98,HIP53985,2013apr30,5.12,7.051,5.921067335646612
99,HIP54778,2013dec18,5.12,7.051,5.921067335646612
100,HIP55485,2011feb07,5.8,7.051,3.1651915672262665
101,HIP55570,2012jun04,5.8,7.051,3.1651915672262665
102,HIP55570,2014may13,8.28,7.051,0.32240368719181894
103,HIP55700,2011feb07,6.25,7.051,2.091221330155288
104,HIP55765,2013apr19,5.64,7.051,3.667752315994953
105,HIP55765,2012dec28,6.09,7.051,2.4232599240925508
106,HIP56238,2013apr30,7.19,7.051,0.8798324994418664
107,HIP57802,2013apr30,4.11,7.051,15.010667325703686
108,HIP58321,2013apr30,4.4,7.051,11.492115972032408
109,HIP58369,2012dec28,7.38,7.051,0.7385841781207972
110,HIP58851,2012jun03,6.72,7.051,1.356438162909269
111,HIP59394,2012jun05,5.51,7.051,4.1342810804713475
112,HIP59422,2013may31,5.55,7.051,3.9847400971777525
113,HIP59422,2014apr09,4.61,7.051,9.471090794701603
114,HIP59445,2013jun13,4.61,7.051,9.471090794701603
115,HIP59608,2011feb06,4.32,7.051,12.370863074892704
116,HIP59893,2013apr30,4.32,7.051,12.370863074892704
117,HIP60074,2015jun05,4.32,7.051,12.370863074892704
118,HIP60303,2013apr30,5.69,7.051,3.5026762691381284
119,HIP61094,2013apr19,7.91,7.051,0.4533149061464119
120,HIP61240,2014apr09,5.99,7.051,2.6570516703550706
121,HIP61558,2012jun05,4.62,7.051,9.38425931237018
122,HIP62492,2011feb07,4.62,7.051,9.38425931237018
123,HIP62492,2014apr09,6.32,7.051,1.9606496672266
124,HIP62576,2012jun03,5.61,7.051,3.7705091583339287
125,HIP62687,2013apr19,7.57,7.051,0.6200118642087245
126,HIP63286,2011feb06,5.599,7.051,3.8089037649813515
127,HIP63584,2015jan10,7.2,7.051,0.8717661466018495
128,HIP63742,2013may30,5.32,7.051,4.924929296050269
129,HIP65011,2013apr19,5.91,7.051,2.860223693954281
130,HIP65135,2013mar26,5.91,7.051,2.860223693954281
131,HIP65135,2013may30,8.12,7.051,0.37359409225880025
132,HIP65678,2013jun13,5.24,7.051,5.301515066784586
133,HIP65728,2013jun22,7.99,7.051,0.4211143104363182
134,HIP66459,2013apr30,5.54,7.051,4.021610443342134
135,HIP66625,2013apr30,5.96,7.051,2.7314924220891834
136,HIP66704,2013mar26,5.89,7.051,2.913399222570166
137,HIP66837,2015feb03,7.26,7.051,0.8248975239353301
138,HIP67005,2011feb07,5.7,7.051,3.4705635400798758
139,HIP67005,2013apr30,6.87,7.051,1.1814082519208875
140,HIP67005,2013jun13,6.87,7.051,1.1814082519208875
141,HIP67495,2012jun03,5.62,7.051,3.7359409225879996
